,Year,Lung,State,Gender,Race,Cancer
0,1999,107.6,DE,Male,White,Lung
1,2000,100.5,DE,Male,White,Lung
2,2001,99.6,DE,Male,White,Lung
3,2002,96.1,DE,Male,White,Lung
4,2003,103.5,DE,Male,White,Lung
5,2004,115.8,DE,Male,White,Lung
6,2005,105.1,DE,Male,White,Lung
7,2006,113.0,DE,Male,White,Lung
8,2007,110.5,DE,Male,White,Lung
9,2008,103.3,DE,Male,White,Lung
10,2009,101.7,DE,Male,White,Lung
11,2010,100.7,DE,Male,White,Lung
12,2011,118.2,DE,Male,White,Lung
13,2012,98.8,DE,Male,White,Lung
14,2013,109.6,DE,Male,White,Lung
15,2014,98.3,DE,Male,White,Lung
16,2015,124.7,DE,Male,White,Lung
0,2016,96.28780868180858,DE,Male,White,Lung
1,2017,123.40220957122051,DE,Male,White,Lung
2,2018,18.973189195970804,DE,Male,White,Lung
3,2019,163.20123296837315,DE,Male,White,Lung
4,2020,0.0,DE,Male,White,Lung
5,2021,289.97398209426564,DE,Male,White,Lung
6,2022,0.0,DE,Male,White,Lung
7,2023,664.648834223002,DE,Male,White,Lung
8,2024,0.0,DE,Male,White,Lung
9,2025,1638.9594403263618,DE,Male,White,Lung
